author_i,year,high_sim_count,avg_similarity,trend
3608,2016,1,.85162205,0
3608,2018,1,.89641887,
3608,2019,1,.91121358,0
3608,2020,1,.85586149,0
3612,2006,1,.87100899,
3612,2011,1,.8605569,
3616,2011,1,.87157941,
3639,2011,1,.8518889,
3640,1981,1,.86338568,
3640,1986,3,.88013065,
3640,1989,1,.86734295,
3640,1991,1,.86018842,
3640,1993,1,.87069905,
3640,1996,1,.93993044,
3640,2004,1,.9358871,
3648,1994,1,.90084726,
3650,2010,1,.85408723,
3654,2011,1,.8754074,
3661,2002,1,.91194052,
3667,2013,1,.92837024,
3676,2014,1,.91015553,
3676,2016,2,.90706968,
3676,2020,1,.87213624,
3683,2002,1,.88768286,
3683,2004,1,.90293932,
3683,2005,1,.87915081,0
3683,2007,1,.88676739,
3683,2008,1,.8642208,0
3683,2018,1,.87389874,
3692,2013,1,.91035348,
3693,1996,1,.85470492,
3693,2020,1,.87917519,
3700,2008,1,.85736871,
3703,2017,1,.86294156,
3708,2011,3,.87235624,
3708,2014,2,.8682605,
3708,2017,3,.90829694,
3708,2020,3,.89119911,
3708,2021,1,.88124669,-2
3715,2013,2,.86791658,
3715,2017,1,.90346706,
3719,2021,1,.86713672,
3733,2011,1,.87814236,
3734,1999,1,.86660182,
3734,2001,1,.92541718,
3734,2003,1,.94396949,
3734,2004,2,.8966189,1
3734,2005,1,.85055923,-1
3734,2006,2,.85453284,1
3734,2007,5,.8707993,3
3734,2009,7,.87823337,
3734,2017,1,.8823182,
3735,1990,1,.93929273,
3735,1994,1,.86982995,
3737,1991,2,.87911248,
3737,1993,1,.88670826,
3746,2020,1,.94192934,
3758,2012,1,.87231016,
3758,2020,1,.94477367,
3775,1994,1,.89660025,
3782,2008,1,.88261062,
3782,2010,1,.85248893,
3782,2011,1,.87424761,0
3782,2012,2,.91637087,1
3782,2013,1,.87149811,-1
3782,2018,1,.9126668,
3785,2013,1,.85244298,
3785,2016,1,.90788043,
3792,2012,1,.88196027,
3792,2013,1,.86805463,0
3792,2014,5,.8741594,4
3792,2015,2,.86645019,-3
3792,2017,1,.8676666,
3792,2018,1,.85022175,0
3802,2014,1,.87177014,
3806,2005,2,.878106,
3806,2006,1,.94196051,-1
3815,2016,1,.8781023,
